,Country,Emissions per capita
1,Gibraltar,160.2177148
2,"Virgin Islands,  U.S.",118.3043872
3,Qatar,61.18727006
4,Netherlands Antilles,49.13060751
5,Trinidad and Tobago,44.31672122
6,Bahrain,38.43890591
7,United Arab Emirates,35.05088796
8,Singapore,31.41107406
9,Kuwait,30.92496549
10,Brunei,26.89349138
11,Luxembourg,26.28260917
12,Australia,20.58120459
13,United States,19.77840097
14,Canada,18.81174715
15,"Bahamas, The",16.47522939
16,North America,15.85219136
17,Netherlands,15.79306828
18,Saudi Arabia,15.69537679
19,Faroe Islands,14.4745856
20,Belgium,14.2188518
21,Estonia,14.05527909
22,Kazakhstan,14.01529764
23,Nauru,13.64710832
24,Taiwan,13.18511803
25,Hong Kong,12.22755911
26,Russia,11.99663862
27,Saint Pierre and Miquelon,11.87164068
28,New Caledonia,11.85483695
29,Ireland,11.53638891
30,Iceland,11.49701028
31,Cyprus,11.36596934
32,Czech Republic,11.36292585
33,Seychelles,11.34378594
34,Oman,11.18989058
35,Finland,11.14611521
36,Guam,11.0561493
37,Greenland,10.85258136
38,Denmark,10.8485375
39,American Samoa,10.59124104
40,Puerto Rico,10.54713633
41,"Korea, South",10.53361668
42,Germany,10.40492635
43,Bermuda,10.0657807
44,South Africa,10.03852091
45,Turkmenistan,10.0265877
46,Greece,10.01812624
47,Israel,9.804818502
48,Norway,9.792372973
49,Japan,9.777383902
50,United Kingdom,9.663755216
51,Antigua and Barbuda,9.597049955
52,Aruba,9.457668437
53,New Zealand,9.380240554
54,Austria,9.324090888
55,Spain,9.223717255
56,Cayman Islands,9.197447057
57,Eurasia,9.112564403
58,Libya,9.068845755
59,Slovenia,8.766214989
60,Equatorial Guinea,8.37105133
61,Italy,8.049671609
62,Middle East,8.040776538
63,Europe,7.988318566
64,Poland,7.873408104
65,Malta,7.782834582
66,Montserrat,7.670917342
67,Iran,7.250738649
68,Ukraine,7.051096417
69,Slovakia,7.01440641
70,Malaysia,6.702280917
71,Belarus,6.676623192
72,Bulgaria,6.626072746
73,France,6.59691994
74,Sweden,6.362184396
75,Switzerland,6.055860644
76,Venezuela,5.926545428
77,Hungary,5.876000897
78,Portugal,5.81858828
79,Barbados,5.33736212
80,Macau,5.024758079
81,Azerbaijan,4.93687639
82,Former Serbia and Montenegro,4.81427085
83,Croatia,4.767995831
84,China,4.579765648
85,Panama,4.521682006
86,World Total,4.478334335
87,Uzbekistan,4.425313017
88,Romania,4.42261754
89,Lithuania,4.38684918
90,Jamaica,4.359497629
91,Suriname,4.308370724
92,"Virgin Islands, British",4.273493041
93,Djibouti,4.116518376
94,Argentina,4.062664691
95,Mexico,4.053968258
96,Chile,4.012009078
97,Bosnia and Herzegovina,3.869125095
98,Latvia,3.842301942
99,Thailand,3.791299975
100,Iraq,3.694434802
101,Lebanon,3.692865817
102,Saint Kitts and Nevis,3.574765154
103,Macedonia,3.496270812
104,Armenia,3.475274213
105,Belize,3.439547126
106,Jordan,3.368039918
107,French Polynesia,3.367299474
108,"Korea, North",3.357896424
109,Turkey,3.34741577
110,Cook Islands,3.276113453
111,Mauritius,3.220642413
112,Asia & Oceania,3.074386686
113,Gabon,3.039840691
114,Grenada,3.034122783
115,Mongolia,2.905959558
116,Algeria,2.826586451
117,Syria,2.705465775
118,Cuba,2.520749468
119,Central & South America,2.508022279
120,Botswana,2.388715439
121,Saint Lucia,2.271897115
122,Guyana,2.146528941
123,Tunisia,2.060642207
124,Maldives,2.024151617
125,Brazil,2.005786529
126,Egypt,1.920503953
127,Dominican Republic,1.888033402
128,Ecuador,1.879441252
129,Uruguay,1.846171386
130,Saint Helena,1.779143386
131,Angola,1.767188199
132,Moldova,1.737216801
133,Saint Vincent/Grenadines,1.731242518
134,Congo (Brazzaville),1.492932954
135,Fiji,1.466840978
136,Colombia,1.418250476
137,Costa Rica,1.411681707
138,Bolivia,1.380824575
139,Dominica,1.356170405
140,Tonga,1.354498414
141,Namibia,1.316732484
142,Albania,1.309048811
143,Indonesia,1.209397445
144,India,1.163220866
145,Africa,1.156329028
146,U.S. Pacific Islands,1.097982722
147,Vietnam,1.085558966
148,Tajikistan,1.059236309
149,Peru,1.052729851
150,Morocco,1.036560429
151,Honduras,1.018792442
152,Georgia,1.000108311
153,Mauritania,0.9520494187
154,Kyrgyzstan,0.9490153014
155,El Salvador,0.9189974043
156,Swaziland,0.9123522126
157,Guatemala,0.901988969
158,Zimbabwe,0.8443359861
159,Yemen,0.8421481533
160,Western Sahara,0.835469132
161,Nicaragua,0.8201276112
162,Papua New Guinea,0.8196927429
163,Philippines,0.8091330106
164,Samoa,0.7958154307
165,Pakistan,0.7765022323
166,Nigeria,0.7665096359
167,Turks and Caicos Islands,0.6517410513
168,Cape Verde,0.6197300444
169,Sri Lanka,0.6055071141
170,Paraguay,0.5775716902
171,Sao Tome and Principe,0.5163983806
172,Vanuatu,0.5061156522
173,Bhutan,0.4883997213
174,Senegal,0.4703483582
175,Togo,0.4521311352
176,Cameroon,0.4053216132
177,Solomon Islands,0.3833202264
178,Kiribati,0.3619572032
179,Cote d'Ivoire (IvoryCoast),0.3566423021
180,Benin,0.3365680799
181,Ghana,0.3244841944
182,Sudan,0.3178740769
183,Kenya,0.3006714468
184,Bangladesh,0.2900562899
185,Guinea-Bissau,0.2785914201
186,Burma (Myanmar),0.2739918657
187,Mozambique,0.2424762867
188,Zambia,0.2273832277
189,Haiti,0.2108152823
190,Sierra Leone,0.1984682218
191,"Gambia, The",0.191052645
192,Liberia,0.1789039461
193,Comoros,0.1634398701
194,Eritrea,0.1540087921
195,Guinea,0.1433860986
196,Madagascar,0.1373334269
197,Tanzania,0.1214652368
198,Lesotho,0.106870451
199,Nepal,0.1061214413
200,Niger,0.1002848131
201,Laos,0.09130159339
202,Rwanda,0.08583653899
203,Somalia,0.08363833658
204,Central African Republic,0.07533739089
205,Burkina Faso,0.07475195579
206,Malawi,0.07443370455
207,Ethiopia,0.06860787916
208,Mali,0.0646471929
209,Uganda,0.05931782491
210,Cambodia,0.04740518585
211,Burundi,0.04694359978
212,Congo (Kinshasa),0.04017224883
213,Afghanistan,0.02577305591
214,Chad,0.02164797134
,,
,,
,,
,,
,"SOURCES: EIA, WRI",